"UserId";"FirstName";"LastName";"Email";"Phone";"Street";"City";"State";"Zip";"Level"
1;"Isis";"Springtorp";"ispringtorp0@intel.com";"952-405-1942";"2084 Leroy Park";"Maple Plain";"MN";"55579";"lazy"
2;"Niki";"Sollitt";"nsollitt1@ihg.com";"404-401-6936";"6085 Thompson Circle";"Atlanta";"GA";"30368";"lazy"
3;"Lexy";"Duligall";"lduligall2@jigsy.com";"214-303-4486";"11 Union Court";"Dallas";"TX";"75260";"normal"
4;"Elwood";"Dobbing";"edobbing3@netscape.com";"205-283-7989";"30 Spaight Hill";"Birmingham";"AL";"35225";"active"
5;"Emanuel";"Pace";"epace4@wikipedia.org";"512-633-6940";"040 Main Hill";"Austin";"TX";"78749";"active"
6;"Kellen";"Gerber";"kgerber5@newyorker.com";"602-570-9763";"0617 8th Lane";"Phoenix";"AZ";"85040";"lazy"
7;"Wylie";"Vint";"wvint6@dell.com";"212-148-9548";"7 Westerfield Hill";"Jamaica";"NY";"11431";"lazy"
8;"Dulciana";"Georgelin";"dgeorgelin7@xrea.com";"813-245-7643";"20 Tennessee Circle";"Saint Petersburg";"FL";"33705";"normal"
9;"Luz";"Discombe";"ldiscombe8@alexa.com";"319-672-2414";"2012 Eastwood Place";"Waterloo";"IA";"50706";"lazy"
10;"Federica";"Callington";"fcallington9@soundcloud.com";"816-473-2203";"78095 Raven Avenue";"Lees Summit";"MO";"64082";"active"
11;"Gabriele";"Antrum";"gantruma@nytimes.com";"813-561-9862";"291 Quincy Plaza";"Tampa";"FL";"33661";"normal"
12;"Aeriell";"Rawcliff";"arawcliffb@blogger.com";"302-672-1574";"3 Hoffman Drive";"Wilmington";"DE";"19805";"lazy"
13;"Riva";"Seldon";"rseldonc@spiegel.de";"210-447-8439";"21 International Point";"San Antonio";"TX";"78240";"lazy"
14;"Westley";"Shilling";"wshillingd@ca.gov";"916-154-4103";"820 Kennedy Center";"Sacramento";"CA";"95838";"normal"
15;"Herve";"Juanico";"hjuanicoe@nhs.uk";"312-466-2324";"8 Delaware Court";"Chicago";"IL";"60604";"lazy"
16;"Ricardo";"Hayhow";"rhayhowf@bbb.org";"304-216-4950";"59 Welch Circle";"Huntington";"WV";"25705";"lazy"
17;"Lin";"Posse";"lposseg@google.ru";"212-371-5232";"9572 Kennedy Junction";"New York City";"NY";"10131";"normal"
18;"Marge";"Sperski";"msperskih@springer.com";"972-643-2244";"3 Randy Point";"Dallas";"TX";"75241";"normal"
19;"Donnie";"Schimonek";"dschimoneki@japanpost.jp";"713-617-2694";"91 Coolidge Lane";"Houston";"TX";"77201";"normal"
20;"Teriann";"Paggitt";"tpaggittj@time.com";"540-897-0564";"6 Fisk Center";"Roanoke";"VA";"24024";"normal"
21;"Star";"Marle";"smarlek@dropbox.com";"989-604-1307";"99 Melody Center";"Midland";"MI";"48670";"active"
22;"Ricky";"Culshew";"rculshewl@pbs.org";"915-679-8145";"57687 Corben Junction";"El Paso";"TX";"88558";"lazy"
23;"Ellyn";"Thomelin";"ethomelinm@networksolutions.com";"504-767-2699";"7 Welch Plaza";"New Orleans";"LA";"70154";"active"
24;"Reba";"Hercules";"rherculesn@hubpages.com";"213-810-8611";"892 Sunfield Street";"North Hollywood";"CA";"91616";"lazy"
25;"Keen";"Edling";"kedlingo@indiatimes.com";"228-750-2332";"4 Gateway Circle";"Gulfport";"MS";"39505";"normal"
26;"Damaris";"Ewbanke";"dewbankep@bing.com";"510-521-1956";"0 Scofield Lane";"Oakland";"CA";"94627";"active"
27;"Owen";"Welds";"oweldsq@state.gov";"337-269-0619";"866 Judy Point";"Lafayette";"LA";"70593";"normal"
28;"Phylis";"Babonau";"pbabonaur@whitehouse.gov";"937-569-9961";"7675 Arkansas Place";"Hamilton";"OH";"45020";"lazy"
29;"Joan";"Orme";"jormes@typepad.com";"757-293-2469";"79779 Shasta Pass";"Norfolk";"VA";"23514";"normal"
30;"Hanni";"Tick";"htickt@yandex.ru";"405-886-6845";"987 Michigan Avenue";"Oklahoma City";"OK";"73157";"active"
31;"Gabie";"Boncoeur";"gboncoeuru@hostgator.com";"419-604-1894";"02 Petterle Plaza";"Lima";"OH";"45807";"normal"
32;"Lauren";"Rackam";"lrackamv@tiny.cc";"718-114-8376";"5211 Summerview Street";"Jamaica";"NY";"11447";"lazy"
33;"Anthe";"Belin";"abelinw@alexa.com";"806-390-1152";"970 Farwell Street";"Lubbock";"TX";"79405";"lazy"
34;"Coop";"Clever";"ccleverx@skyrock.com";"913-574-9537";"159 Waywood Way";"Shawnee Mission";"KS";"66225";"normal"
35;"Melanie";"Gallon";"mgallony@sciencedaily.com";"206-202-1501";"46 Tennyson Crossing";"Seattle";"WA";"98185";"active"
36;"Joceline";"Varley";"jvarleyz@buzzfeed.com";"813-840-7145";"63 Hoepker Drive";"Tampa";"FL";"33680";"lazy"
37;"Pansy";"Manssuer";"pmanssuer10@nba.com";"405-668-7821";"07896 Elka Court";"Edmond";"OK";"73034";"normal"
38;"Laurie";"Lambourne";"llambourne11@earthlink.net";"214-284-7988";"4189 Monterey Avenue";"Irving";"TX";"75037";"lazy"
39;"Sibella";"Bortolozzi";"sbortolozzi12@newsvine.com";"386-823-5738";"92 Dawn Pass";"Daytona Beach";"FL";"32123";"active"
40;"Freida";"Langelay";"flangelay13@networkadvertising.org";"312-474-9253";"7 Stephen Court";"Chicago";"IL";"60624";"normal"
41;"Yettie";"Tolworth";"ytolworth14@freewebs.com";"256-481-7473";"80 East Way";"Huntsville";"AL";"35815";"normal"
42;"Sim";"Rosita";"srosita15@illinois.edu";"713-508-3133";"852 Dawn Pass";"Houston";"TX";"77260";"normal"
43;"Dunstan";"Bayfield";"dbayfield16@ocn.ne.jp";"678-828-3879";"0 Dixon Crossing";"Marietta";"GA";"30066";"normal"
44;"Madelaine";"Stiebler";"mstiebler17@cyberchimps.com";"212-732-9238";"1759 David Plaza";"New York City";"NY";"10184";"normal"
45;"Cherye";"Gummary";"cgummary18@sourceforge.net";"702-273-4648";"528 Warrior Circle";"Henderson";"NV";"89074";"normal"
46;"Latisha";"St Pierre";"lstpierre19@acquirethisname.com";"404-772-1985";"2845 Golf View Avenue";"Atlanta";"GA";"31190";"lazy"
47;"Felicia";"Marriage";"fmarriage1a@netvibes.com";"202-984-4217";"8840 Anhalt Point";"Washington";"DC";"20392";"active"
48;"Ogdan";"Baggs";"obaggs1b@latimes.com";"808-642-5803";"40 Luster Park";"Honolulu";"HI";"96835";"normal"
